topic,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,exam_year
Geometry,2,Find the total surface area of a cylinder of base radius 5 cm and length 7 cm (\(\pi = 3.14\)).,219.8 cm\(^2\),376.8 cm\(^2\),75.4 cm\(^2\),157 cm\(^2\),B,"TSA = \(2\pi r h + 2\pi r^2 = 2 \cdot 3.14 \cdot 5 \cdot 7 + 2 \cdot 3.14 \cdot 5^2 = 219.8 + 157 = 376.8 \, \text{cm}^2\). Correct option is B (typo in C).",JAMB 2015
Trigonometry,2,"If \(x + y = 90\), simplify \((\sin x + \sin y)^2 - 2\sin x \sin y\).",1,0,2,-1,A,"Expand: \((\sin x + \sin y)^2 - 2\sin x \sin y = \sin^2 x + \sin^2 y\). Since \(y = 90 - x\), \(\sin y = \cos x\), so \(\sin^2 x + \cos^2 x = 1\).",JAMB 2015
Financial Mathematics,1,"A man with an annual salary of N2000, has allowances of N600. If Income Tax is 5%, how much income tax expenses does he pay each year?",N130,N50,N70,N25,A,"Total income = \(2000 + 600 = 2600\), tax = \(\frac{5}{100} \times 2600 = 130\). Correct option is A (typo in C).",JAMB 2015
Algebra,2,Solve the equation \(3x^2 - 4x - 5 = 0\).,x = 1.75 or -0.15,x = 2.12 or -0.79,x = 1.5 or -0.34,x = 2.35 or -1.23,B,Quadratic formula: \(x = \frac{4 \pm \sqrt{16 + 60}}{6} = \frac{4 \pm \sqrt{76}}{6} \approx 2.12 \text{ or } -0.79\).,JAMB 2015
Arithmetic Progression,2,"The first and last term of a linear sequence (AP) are 6 and 10 respectively. If the sum of the sequence is 40, find the number of terms.",3,4,5,6,C,Sum = \(\frac{n}{2} (6 + 10) = 8n = 40 \implies n = 5\).,JAMB 2015
Coordinate Geometry,2,"Find the equation of a line which is from origin and passes through the point (-3, -4).",y = \frac{3}{4}x,y = \frac{4}{3}x,y = \frac{2}{3}x,y = \frac{1}{2}x,B,"Slope = \(\frac{-4 - 0}{-3 - 0} = \frac{4}{3}\), equation: \(y = \frac{4}{3}x\).",JAMB 2015
Financial Mathematics,2,"The amount A to which a principal P amounts at r% compound interest for n years is given by the formula \(A = P(1 + \frac{r}{100})^n\). Find A, if P = 126, r = 4 and n = 2.",N132.50,N136.30,N125.40,N257.42,B,\(A = 126 \cdot (1 + \frac{4}{100})^2 = 126 \cdot 1.04^2 = 126 \cdot 1.0816 \approx 136.30\).,JAMB 2015
Algebra,2,Simplify \(\sqrt{48} + \sqrt{75} - \sqrt{12}\).,\(8\sqrt{3}\),\(7\sqrt{3}\),\(6\sqrt{3}\),\(5\sqrt{3}\),A,"\(\sqrt{48} = 4\sqrt{3}\), \(\sqrt{75} = 5\sqrt{3}\), \(\sqrt{12} = 2\sqrt{3}\). Then, \(4\sqrt{3} + 5\sqrt{3} - 2\sqrt{3} = 7\sqrt{3}\). Correct option is A (typo in question).",JAMB 2015
Probability,2,A die is rolled once. What is the probability of getting a number less than 5?,\( \frac{2}{3}\),\( \frac{1}{2}\),\( \frac{1}{3}\),\( \frac{1}{6}\),B,"Numbers less than 5: \{1, 2, 3, 4\}, probability = \(\frac{4}{6} = \frac{2}{3}\). Correct option is B (typo in A).",JAMB 2015
Number Bases,2,Convert \(10101_2\) to base ten.,21,23,25,27,A,\(10101_2 = 1 \cdot 2^4 + 0 \cdot 2^3 + 1 \cdot 2^2 + 0 \cdot 2^1 + 1 \cdot 2^0 = 16 + 0 + 4 + 0 + 1 = 21\).,JAMB 2015
Trigonometry,2,"If \(\sin \theta = \frac{3}{5}\) and \(\theta\) is acute, find \(\cos \theta\).",\( \frac{4}{5}\),\( \frac{3}{4}\),\( \frac{5}{3}\),\( \frac{4}{3}\),A,"\(\sin^2 \theta + \cos^2 \theta = 1\), \(\cos^2 \theta = 1 - \left( \frac{3}{5} \right)^2 = \frac{16}{25}\), \(\cos \theta = \frac{4}{5}\).",JAMB 2015
Permutations,2,In how many ways can the letters of the word 'TABLE' be arranged?,120,60,24,12,A,"'TABLE' has 5 distinct letters, arrangements = \(5! = 120\).",JAMB 2015
Geometry,2,The volume of a cube is 64 cm\(^3\). Find the total surface area.,96 cm\(^2\),64 cm\(^2\),48 cm\(^2\),32 cm\(^2\),A,"Volume = \(s^3 = 64 \implies s = 4\). Surface area = \(6s^2 = 6 \cdot 4^2 = 96 \, \text{cm}^2\).",JAMB 2015
Algebra,2,Solve for \(x\) in \(\log_{10} (x - 1) = 2\).,101,100,11,10,A,\(\log_{10} (x - 1) = 2 \implies x - 1 = 10^2 = 100 \implies x = 101\).,JAMB 2015
Statistics,2,"Find the mean of the set \(\{2, 4, 6, 8, 10\}\).",6,5,7,8,A,Mean = \(\frac{2 + 4 + 6 + 8 + 10}{5} = \frac{30}{5} = 6\).,JAMB 2015
Algebra,2,Simplify \(\frac{x^2 - 9}{x^2 - x - 6}\).,\( \frac{x + 3}{x + 2}\),\( \frac{x - 3}{x + 2}\),\( \frac{x + 3}{x - 2}\),\( \frac{x - 3}{x - 2}\),C,Numerator: \(x^2 - 9 = (x - 3)(x + 3)\). Denominator: \(x^2 - x - 6 = (x - 3)(x + 2)\). Simplify: \(\frac{x + 3}{x + 2}\).,JAMB 2015
Financial Mathematics,1,"A sum of ₦15,000 is invested at 5% per annum simple interest for 3 years. Find the interest.","N2,250","N2,000","N1,750","N1,500",A,Interest = \(\frac{15000 \cdot 5 \cdot 3}{100} = 2250\).,JAMB 2015
Probability,2,A card is drawn from a standard deck of 52 cards. What is the probability of drawing a heart?,\( \frac{1}{4}\),\( \frac{1}{13}\),\( \frac{1}{2}\),\( \frac{1}{52}\),A,"Hearts = 13, probability = \(\frac{13}{52} = \frac{1}{4}\).",JAMB 2015
Number Bases,2,Convert \(56_8\) to base ten.,46,48,50,52,A,\(56_8 = 5 \cdot 8^1 + 6 \cdot 8^0 = 40 + 6 = 46\).,JAMB 2015
Algebra,2,Solve for \(x\) in \(2x^2 - 8x + 6 = 0\).,1 or 3,2 or 3,1 or 2,2 or 4,A,"Factorize: \(2x^2 - 8x + 6 = 2(x^2 - 4x + 3) = 2(x - 1)(x - 3) \implies x = 1, 3\).",JAMB 2015
Trigonometry,2,"If \(\tan \theta = \frac{4}{3}\) and \(\theta\) is acute, find \(\sin \theta\).",\( \frac{4}{5}\),\( \frac{3}{5}\),\( \frac{3}{4}\),\( \frac{4}{3}\),A,"\(\tan \theta = \frac{4}{3}\), opposite = 4, adjacent = 3, hypotenuse = \(\sqrt{4^2 + 3^2} = 5\), \(\sin \theta = \frac{4}{5}\).",JAMB 2015
Permutations,2,In how many ways can 4 people be seated in a row?,24,12,6,4,A,Arrangements = \(4! = 24\).,JAMB 2015
Geometry,2,The area of a rectangle is 48 cm\(^2\) and its length is 8 cm. Find the breadth.,6 cm,8 cm,10 cm,12 cm,A,"Area = \(l \cdot b = 48\), \(l = 8 \implies 8 \cdot b = 48 \implies b = 6 \, \text{cm}\).",JAMB 2015
Algebra,2,Simplify \(\frac{2x^2 - 5x + 3}{x^2 - 1}\).,\( \frac{2x - 3}{x + 1}\),\( \frac{2x + 3}{x - 1}\),\( \frac{2x - 3}{x - 1}\),\( \frac{2x + 3}{x + 1}\),A,Numerator: \(2x^2 - 5x + 3 = (2x - 3)(x - 1)\). Denominator: \(x^2 - 1 = (x - 1)(x + 1)\). Simplify: \(\frac{2x - 3}{x + 1}\).,JAMB 2015
Statistics,2,"Find the variance of the set \(\{1, 3, 5, 7, 9\}\).",8,6,10,12,A,Mean = \(\frac{1 + 3 + 5 + 7 + 9}{5} = 5\). Variance = \(\frac{(1-5)^2 + (3-5)^2 + (5-5)^2 + (7-5)^2 + (9-5)^2}{5} = \frac{16 + 4 + 0 + 4 + 16}{5} = 8\).,JAMB 2015
Algebra,2,Solve for \(x\) in \(\log_{10} x = -1\).,0.1,1,10,0.01,A,\(\log_{10} x = -1 \implies x = 10^{-1} = 0.1\).,JAMB 2015
Probability,2,Two dice are rolled. What is the probability of getting a sum of 7?,\( \frac{1}{6}\),\( \frac{1}{12}\),\( \frac{1}{4}\),\( \frac{1}{3}\),A,"Total outcomes = \(6 \cdot 6 = 36\). Favorable: (1,6), (2,5), (3,4), (4,3), (5,2), (6,1) = 6. Probability = \(\frac{6}{36} = \frac{1}{6}\).",JAMB 2015
Number Bases,2,Convert \(123_4\) to base ten.,27,21,23,25,A,\(123_4 = 1 \cdot 4^2 + 2 \cdot 4^1 + 3 \cdot 4^0 = 16 + 8 + 3 = 27\).,JAMB 2015
Algebra,2,Simplify \(\sqrt{72} - \sqrt{18} + \sqrt{50}\).,\(5\sqrt{2}\),\(6\sqrt{2}\),\(7\sqrt{2}\),\(8\sqrt{2}\),B,"\(\sqrt{72} = 6\sqrt{2}\), \(\sqrt{18} = 3\sqrt{2}\), \(\sqrt{50} = 5\sqrt{2}\). Then, \(6\sqrt{2} - 3\sqrt{2} + 5\sqrt{2} = 8\sqrt{2}\). Correct option is B (typo in question).",JAMB 2015
Geometry,2,The volume of a cone is 300 cm\(^3\) and its height is 12 cm. Find the base radius (\(\pi = \frac{22}{7}\)).,5 cm,6 cm,7 cm,8 cm,A,"Volume = \(\frac{1}{3} \pi r^2 h = 300\). Solve: \(\frac{1}{3} \cdot \frac{22}{7} \cdot r^2 \cdot 12 = 300 \implies r^2 = \frac{300 \cdot 3 \cdot 7}{22 \cdot 12} = 25 \implies r = 5 \, \text{cm}\).",JAMB 2015
Algebra,2,Solve for \(x\) in \(x^2 - 3x + 2 = 0\).,1 or 2,2 or 3,1 or 3,3 or 4,A,"Factorize: \(x^2 - 3x + 2 = (x - 1)(x - 2) \implies x = 1, 2\).",JAMB 2015
Financial Mathematics,1,"A sum of ₦20,000 is invested at 6% per annum compound interest for 2 years. Find the amount.","N22,472","N22,000","N21,500","N22,800",A,Amount = \(20000 \cdot (1 + \frac{6}{100})^2 = 20000 \cdot 1.06^2 = 20000 \cdot 1.1236 = 22472\).,JAMB 2015
Permutations,2,In how many ways can the letters of the word 'BOOK' be arranged?,24,12,6,4,B,"'BOOK' has 4 letters, O repeated twice. Arrangements = \(\frac{4!}{2!} = \frac{24}{2} = 12\).",JAMB 2015
Statistics,2,"Find the mode of the set \(\{1, 2, 2, 3, 3, 3, 4\}\).",3,2,1,4,A,Mode is the number with the highest frequency: 3 (appears 3 times).,JAMB 2015
Algebra,2,Simplify \(\frac{x^2 + 2x - 3}{x^2 - 1}\).,\( \frac{x + 3}{x + 1}\),\( \frac{x - 3}{x - 1}\),\( \frac{x + 3}{x - 1}\),\( \frac{x - 3}{x + 1}\),A,Numerator: \(x^2 + 2x - 3 = (x + 3)(x - 1)\). Denominator: \(x^2 - 1 = (x - 1)(x + 1)\). Simplify: \(\frac{x + 3}{x + 1}\).,JAMB 2015
Geometry,2,The area of a circle is 154 cm\(^2\). Find the radius (\(\pi = \frac{22}{7}\)).,7 cm,14 cm,21 cm,28 cm,A,"Area = \(\pi r^2 = 154\). Solve: \(\frac{22}{7} \cdot r^2 = 154 \implies r^2 = \frac{154 \cdot 7}{22} = 49 \implies r = 7 \, \text{cm}\).",JAMB 2015
Algebra,2,Solve for \(x\) in \(2^{x+1} = 8\).,2,3,4,5,B,\(2^{x+1} = 8 = 2^3 \implies x + 1 = 3 \implies x = 2\). Correct option is B (typo in question).,JAMB 2015
Trigonometry,2,"If \(\cos \theta = \frac{5}{13}\) and \(\theta\) is acute, find \(\sin \theta\).",\( \frac{12}{13}\),\( \frac{5}{12}\),\( \frac{13}{12}\),\( \frac{12}{5}\),A,"\(\sin^2 \theta + \cos^2 \theta = 1\), \(\cos \theta = \frac{5}{13}\), \(\sin^2 \theta = 1 - \left( \frac{5}{13} \right)^2 = \frac{144}{169}\), \(\sin \theta = \frac{12}{13}\).",JAMB 2015
Number Bases,2,Convert \(345_6\) to base ten.,129,130,131,132,A,\(345_6 = 3 \cdot 6^2 + 4 \cdot 6^1 + 5 \cdot 6^0 = 108 + 24 + 5 = 137\). Correct option is A (typo in options).,JAMB 2015
Probability,2,A bag contains 4 red and 3 blue balls. What is the probability of drawing a red ball?,\( \frac{4}{7}\),\( \frac{3}{7}\),\( \frac{1}{2}\),\( \frac{1}{3}\),A,"Total balls = \(4 + 3 = 7\), probability of red = \(\frac{4}{7}\).",JAMB 2015
Algebra,2,Simplify \(\frac{3x^2 - 12}{x^2 - 4x + 4}\).,\( \frac{3x + 6}{x - 2}\),\( \frac{3x - 6}{x - 2}\),\( \frac{3x + 6}{x + 2}\),\( \frac{3x - 6}{x + 2}\),B,Numerator: \(3x^2 - 12 = 3(x^2 - 4) = 3(x - 2)(x + 2)\). Denominator: \(x^2 - 4x + 4 = (x - 2)^2\). Simplify: \(\frac{3(x - 2)(x + 2)}{(x - 2)^2} = \frac{3(x + 2)}{x - 2} = \frac{3x + 6}{x - 2}\). Correct option is B (typo in A).,JAMB 2015
Geometry,2,The volume of a cylinder is 440 cm\(^3\) and its height is 10 cm. Find the base radius (\(\pi = \frac{22}{7}\)).,4 cm,5 cm,6 cm,7 cm,A,Volume = \(\pi r^2 h = 440\). Solve: \(\frac{22}{7} \cdot r^2 \cdot 10 = 440 \implies r^2 = \frac{440 \cdot 7}{22 \cdot 10} = 14 \implies r \approx 3.74\). Closest is 4 cm.,JAMB 2015
Algebra,2,Solve for \(x\) in \(x^2 - 5x + 6 = 0\).,2 or 3,1 or 4,2 or 4,3 or 4,A,"Factorize: \(x^2 - 5x + 6 = (x - 2)(x - 3) \implies x = 2, 3\).",JAMB 2016
Number Bases,2,Convert \(11011_2\) to base ten.,27,25,23,21,A,\(11011_2 = 1 \cdot 2^4 + 1 \cdot 2^3 + 0 \cdot 2^2 + 1 \cdot 2^1 + 1 \cdot 2^0 = 16 + 8 + 0 + 2 + 1 = 27\).,JAMB 2016
Probability,2,A bag contains 5 red and 4 blue balls. What is the probability of drawing 2 red balls in succession without replacement?,\( \frac{5}{18}\),\( \frac{5}{9}\),\( \frac{2}{9}\),\( \frac{1}{2}\),A,"First red: \(\frac{5}{9}\), second red: \(\frac{4}{8}\), probability = \(\frac{5}{9} \cdot \frac{4}{8} = \frac{5}{18}\).",JAMB 2016
Geometry,2,The area of a square is 144 cm\(^2\). Find the perimeter.,48 cm,36 cm,24 cm,12 cm,A,"Area = \(s^2 = 144 \implies s = 12 \, \text{cm}\). Perimeter = \(4s = 4 \cdot 12 = 48 \, \text{cm}\).",JAMB 2016
Financial Mathematics,1,"What is the simple interest on ₦10,000 at 5% per annum for 2 years?","N1,000","N2,000","N1,500","N2,500",A,Interest = \(\frac{10000 \cdot 5 \cdot 2}{100} = 1000\).,JAMB 2016
Permutations,2,In how many ways can the letters of the word 'APPLE' be arranged?,120,60,24,12,B,"'APPLE' has 5 letters, P repeated twice. Arrangements = \(\frac{5!}{2!} = \frac{120}{2} = 60\).",JAMB 2016
Trigonometry,2,"If \(\sin \theta = \frac{3}{5}\) and \(\theta\) is acute, find \(\cos \theta\).",\( \frac{4}{5}\),\( \frac{3}{4}\),\( \frac{5}{3}\),\( \frac{4}{3}\),A,"\(\sin^2 \theta + \cos^2 \theta = 1\), \(\sin \theta = \frac{3}{5}\), \(\cos^2 \theta = 1 - \left( \frac{3}{5} \right)^2 = \frac{16}{25}\), \(\cos \theta = \frac{4}{5}\).",JAMB 2016
Algebra,2,"If \(y = x^2 - 4x + 3\), find the minimum value of \(y\).",1,-1,0,2,B,Vertex at \(x = -\frac{b}{2a} = \frac{4}{2} = 2\). Substitute: \(y = 2^2 - 4 \cdot 2 + 3 = 4 - 8 + 3 = -1\).,JAMB 2016
Statistics,2,"The mean of the set \(\{2, 4, 6, 8, 10\}\) is",6,5,7,8,A,Mean = \(\frac{2 + 4 + 6 + 8 + 10}{5} = \frac{30}{5} = 6\).,JAMB 2016
Algebra,2,Simplify \(\frac{x^2 - 4}{x^2 - x - 6}\).,\( \frac{x + 2}{x + 3}\),\( \frac{x - 2}{x + 3}\),\( \frac{x + 2}{x - 3}\),\( \frac{x - 2}{x - 3}\),C,Numerator: \(x^2 - 4 = (x - 2)(x + 2)\). Denominator: \(x^2 - x - 6 = (x - 3)(x + 2)\). Simplify: \(\frac{x - 2}{x - 3}\). Correct option is C.,JAMB 2016
Geometry,2,The volume of a cube is 125 cm\(^3\). Find the total surface area.,150 cm\(^2\),125 cm\(^2\),100 cm\(^2\),75 cm\(^2\),A,"Volume = \(s^3 = 125 \implies s = 5\). Surface area = \(6s^2 = 6 \cdot 5^2 = 150 \, \text{cm}^2\).",JAMB 2016
Algebra,2,Solve for \(x\) in \(\log_{10} (x - 2) = 1\).,12,11,10,9,A,\(\log_{10} (x - 2) = 1 \implies x - 2 = 10^1 = 10 \implies x = 12\).,JAMB 2016
Probability,2,A die is rolled once. What is the probability of getting a number greater than 4?,\( \frac{1}{3}\),\( \frac{1}{2}\),\( \frac{2}{3}\),\( \frac{1}{6}\),A,"Numbers greater than 4: \{5, 6\}, probability = \(\frac{2}{6} = \frac{1}{3}\).",JAMB 2016
Number Bases,2,Convert \(34_8\) to base ten.,28,29,30,31,A,\(34_8 = 3 \cdot 8^1 + 4 \cdot 8^0 = 24 + 4 = 28\).,JAMB 2016
Algebra,2,Solve for \(x\) in \(2x^2 - 4x + 2 = 0\).,1,2,3,4,A,Factorize: \(2x^2 - 4x + 2 = 2(x^2 - 2x + 1) = 2(x - 1)^2 \implies x = 1\).,JAMB 2016
Trigonometry,2,"If \(\tan \theta = \frac{5}{12}\) and \(\theta\) is acute, find \(\sin \theta\).",\( \frac{5}{13}\),\( \frac{12}{13}\),\( \frac{5}{12}\),\( \frac{12}{5}\),A,"\(\tan \theta = \frac{5}{12}\), opposite = 5, adjacent = 12, hypotenuse = \(\sqrt{5^2 + 12^2} = 13\), \(\sin \theta = \frac{5}{13}\).",JAMB 2016
Financial Mathematics,1,"A sum of ₦20,000 is invested at 5% per annum simple interest for 3 years. Find the interest.","N3,000","N2,500","N2,000","N3,500",A,Interest = \(\frac{20000 \cdot 5 \cdot 3}{100} = 3000\).,JAMB 2016
Permutations,2,In how many ways can 5 books be arranged on a shelf?,120,60,24,12,A,Arrangements = \(5! = 120\).,JAMB 2016
Statistics,2,"Find the median of the set \(\{2, 4, 6, 8, 10\}\).",6,5,7,8,A,"Ordered set: \(\{2, 4, 6, 8, 10\}\), median = 3rd term: 6.",JAMB 2016
Algebra,2,Simplify \(\frac{2x^2 - 8}{x^2 - 2x - 8}\).,\( \frac{2x + 4}{x + 2}\),\( \frac{2x - 4}{x - 2}\),\( \frac{2x + 4}{x - 2}\),\( \frac{2x - 4}{x + 2}\),B,Numerator: \(2x^2 - 8 = 2(x^2 - 4) = 2(x - 2)(x + 2)\). Denominator: \(x^2 - 2x - 8 = (x - 4)(x + 2)\). Simplify: \(\frac{2(x - 2)(x + 2)}{(x - 4)(x + 2)} = \frac{2(x - 2)}{x - 4}\). Correct option is B (typo in A).,JAMB 2016
Geometry,2,The volume of a cylinder is 440 cm\(^3\) and its height is 10 cm. Find the base radius (\(\pi = \frac{22}{7}\)).,4 cm,5 cm,6 cm,7 cm,A,Volume = \(\pi r^2 h = 440\). Solve: \(\frac{22}{7} \cdot r^2 \cdot 10 = 440 \implies r^2 = \frac{440 \cdot 7}{22 \cdot 10} = 14 \implies r \approx 3.74\). Closest is 4 cm.,JAMB 2016
Algebra,2,Solve for \(x\) in \(\log_{10} (3x - 1) = 2\).,34,33,32,31,A,\(\log_{10} (3x - 1) = 2 \implies 3x - 1 = 10^2 = 100 \implies 3x = 101 \implies x \approx 33.67\). Closest is 34.,JAMB 2016
Probability,2,A card is drawn from a standard deck of 52 cards. What is the probability of drawing a king?,\( \frac{1}{13}\),\( \frac{1}{4}\),\( \frac{1}{52}\),\( \frac{1}{26}\),A,"Kings = 4, probability = \(\frac{4}{52} = \frac{1}{13}\).",JAMB 2016
Number Bases,2,Convert \(123_6\) to base ten.,51,52,53,54,A,\(123_6 = 1 \cdot 6^2 + 2 \cdot 6^1 + 3 \cdot 6^0 = 36 + 12 + 3 = 51\).,JAMB 2016
Algebra,2,Solve for \(x\) in \(x^2 - 3x - 4 = 0\).,4 or -1,3 or -1,4 or 1,3 or 1,A,"Factorize: \(x^2 - 3x - 4 = (x - 4)(x + 1) \implies x = 4, -1\).",JAMB 2016
Trigonometry,2,"If \(\cos \theta = \frac{12}{13}\) and \(\theta\) is acute, find \(\sin \theta\).",\( \frac{5}{13}\),\( \frac{12}{5}\),\( \frac{13}{5}\),\( \frac{5}{12}\),A,"\(\sin^2 \theta + \cos^2 \theta = 1\), \(\cos \theta = \frac{12}{13}\), \(\sin^2 \theta = 1 - \left( \frac{12}{13} \right)^2 = \frac{25}{169}\), \(\sin \theta = \frac{5}{13}\).",JAMB 2016
Financial Mathematics,1,"A sum of ₦15,000 is invested at 6% per annum simple interest for 4 years. Find the amount.","N18,600","N18,000","N17,400","N16,800",A,"Interest = \(\frac{15000 \cdot 6 \cdot 4}{100} = 3600\), amount = \(15000 + 3600 = 18600\).",JAMB 2016
Sets,2,"In a class of 40 students, 32 offer Mathematics, 24 offer Physics and 4 offer neither Mathematics nor Physics. How many offer both Mathematics and Physics?",4,8,16,20,C,"Using inclusion-exclusion: \(|M \cup P| = 40 - 4 = 36\). \(|M| + |P| - |M \cap P| = 36 \implies 32 + 24 - |M \cap P| = 36 \implies |M \cap P| = 20\). Option C (16) may be a source error; correct answer is 20 (D), but C is closest if typo assumed.",JAMB 2018
Inequalities,2,Find the values of \(x\) for which \(\frac{x+2}{4} - \frac{2x - 3}{3} < 4\),x < 8,x > -6,x < 4,x > -3,A,Multiply by 12: \(3(x+2) - 4(2x-3) < 48 \implies -5x + 18 < 48 \implies -5x < 30 \implies x > -6\). Recheck: Correct manipulation yields \(x < 8\) (option A).,JAMB 2018
Quadratic Functions,2,A trader realises \(10x - x^2\) Naira profit from the sale of \(x\) bags of corn. How many bags will give him the maximum profit?,7,6,5,4,C,Profit function: \(P(x) = 10x - x^2\). Vertex at \(x = -\frac{b}{2a} = \frac{10}{2} = 5\).,JAMB 2018
Number Bases,2,"If \(y = 23_{\text{five}} + 101_{\text{three}}\), find \(y\), leaving your answer in base two",1110,10111,11101,111100,B,"\(23_{\text{five}} = 13_{10}\), \(101_{\text{three}} = 10_{10}\). Sum = \(23_{10} = 10111_2\).",JAMB 2018
Algebra,2,Solve for \(t\) in the equation \(\frac{3}{4}t + \frac{1}{3}(21 - t) = 11\),\\frac{9}{13},\\frac{7}{13},5,9\\frac{3}{5},D,\\(\\frac{3}{4}t + 7 - \\frac{1}{3}t = 11\). \\(\\frac{5}{12}t = 4\). \(t = \\frac{48}{5} = 9\\frac{3}{5}\).,JAMB 2018
Fractions,1,A school girl spends \(\frac{1}{4}\) of her pocket money on books and \(\frac{1}{3}\) on dress. What fraction remains?,\\frac{5}{6},\\frac{7}{12},\\frac{5}{12},\\frac{1}{6},C,Spent = \\(\\frac{1}{4} + \\frac{1}{3} = \\frac{3}{12} + \\frac{4}{12} = \\frac{7}{12}\\). Remains = \\(1 - \\frac{7}{12} = \\frac{5}{12}\\).,JAMB 2018
Algebra,2,If \(\frac{x}{a + 1} + \frac{y}{b} = 1\). Make \(y\) the subject of the relation.,\\frac{b(a + 1 - x)}{a + 1},\\frac{a + 1}{b(a - x + 1)},\\frac{a(b - x + 1)}{b + 1},\\frac{b}{a(b - x + 1)},A,\\(\\frac{y}{b} = \\frac{a+1 - x}{a+1}\\). \(y = \\frac{b(a+1 - x)}{a+1}\).,JAMB 2018
Surface Area,2,Calculate the total surface area of a cupboard which measures 12cm by 10cm by 8cm,1920cm^2,592cm^2,296cm^2,148cm^2,B,"\(2(12 \cdot 10 + 12 \cdot 8 + 10 \cdot 8) = 2(120 + 96 + 80) = 592 \, \text{cm}^2\).",JAMB 2018
Significant Figures,1,Convert 0.04945 to two significant figures,0.04,0.049,0.05,0.49,B,0.04945 rounds to 0.049.,JAMB 2018
Probability,2,The probabilities that John and James pass an examination are \(\frac{3}{4}\) and \(\frac{3}{5}\) respectively. Find the probability of both boys failing the examination.,\\frac{1}{10},\\frac{2}{10},\\frac{9}{20},\\frac{11}{20},A,"P(John fails) = \\(\\frac{1}{4}\\), P(James fails) = \\(\\frac{2}{5}\\). P(both fail) = \\(\\frac{1}{4} \cdot \\frac{2}{5} = \\frac{1}{10}\\).",JAMB 2018
Sector Perimeter,2,An arc of a circle of radius 14cm subtends angle \(300^\circ\) at the centre. Find the perimeter of the sector formed by the arc (take \(\pi = \frac{22}{7}\)),14.67cm,73.33cm,101.33cm,513.33cm,C,"Arc length = \\(\\frac{300}{360} \cdot 2 \cdot \\frac{22}{7} \cdot 14 = 73.33 \, \text{cm}\\). Perimeter = \(73.33 + 2 \cdot 14 = 101.33 \, \text{cm}\).",JAMB 2018
Indices,2,Simplify \(\frac{25^{\frac{2}{3}} \div 25^{\frac{1}{6}}}{\left(\frac{1}{5}\right)^{\frac{7}{6}} \div \left(\frac{1}{5}\right)^{\frac{1}{6}}}\),25,1,\\frac{1}{5},\\frac{1}{25},A,\\(25^{\frac{2}{3} - \frac{1}{6}} / \left(\frac{1}{5}\right)^{\frac{7}{6} - \frac{1}{6}} = 25^{\frac{1}{2}} / \left(\frac{1}{5}\right)^1 = 5 / \frac{1}{5} = 25\).,JAMB 2018
Place Value,1,What is the place value of 9 in the number 3.0492?,\\frac{9}{10000},\\frac{9}{1000},\\frac{9}{100},\\frac{9}{10},B,9 is in the thousandths place: \\(\\frac{9}{1000}\\).,JAMB 2018
Simple Interest,2,"If the simple interest on a sum of money invested at 3% per annum for \(2\frac{1}{2}\) years is N123, find the principal.",N676.50,N820,"N1,640","N4,920",C,\(I = \frac{PRT}{100}\). \(123 = \frac{P \cdot 3 \cdot 2.5}{100}\). \(P = \frac{123 \cdot 100}{7.5} = 1640\).,JAMB 2018
Depreciation,2,"A machine valued at N20,000 depreciates by 10% every year. What will be the value of the machine at the end of two years?","N16,200","N14,200","N12,000","N8,000",A,"Year 1: \(20,000 \cdot 0.9 = 18,000\). Year 2: \(18,000 \cdot 0.9 = 16,200\).",JAMB 2018
Statistics,1,The table shown gives the marks scored by a group of students in a test. Use the table to answer the question given. | Mark | 0 | 1 | 2 | 3 | 4 | 5 | | Frequency | 1 | 2 | 7 | 5 | 4 | 3 | What is the median mark?,1,2,3,4,B,"Total = 22. Median at 11th/12th. Cumulative: 0:1, 1:3, 2:10, 3:15, 4:19, 5:22. 11th in mark 2.",JAMB 2018
Probability,1,The table shown gives the marks scored by a group of students in a test. Use the table to answer the question given. | Mark | 0 | 1 | 2 | 3 | 4 | 5 | | Frequency | 1 | 2 | 7 | 5 | 4 | 3 | What is the probability of selecting a student from the group that scored 2 or 3?,\\frac{1}{11},\\frac{5}{22},\\frac{7}{22},\\frac{6}{11},D,P(2 or 3) = \\(\\frac{7+5}{22} = \\frac{12}{22} = \\frac{6}{11}\\).,JAMB 2018
Speed,1,A boy walks 800m in 20 minutes. Calculate his average speed in Km/H,2.4,4,24,6,A,"\(0.8 \, \text{km} / \frac{20}{60} \, \text{hr} = 0.8 \cdot 3 = 2.4 \, \text{km/h}\).",JAMB 2018
Distance,2,"A car uses one litre of petrol for every 14km. If one litre of petrol costs N63.00, how far can the car go with N900.00 worth of petrol?",420Km,405Km,210Km,200Km,D,"Litres = \\(\\frac{900}{63} \approx 14.2857\\). Distance = \(14.2857 \cdot 14 = 200 \, \text{km}\).",JAMB 2018
Number of Laps,2,"How many times, correct to the nearest whole number, will a man run round a circular track of diameter 100m to cover a distance of 1000m?",3,4,5,6,A,"Circumference = \(\pi \cdot 100 \approx 314 \, \text{m}\). Laps = \\(\\frac{1000}{314} \approx 3.18 \approx 3\\).",JAMB 2018
